Opportunity ID,Opportunity Name,Account Name,Owner,Stage,Amount,Close Date,Created Date,Probability (%),Forecast Category,Type,Days in Stage,Last Activity
OPP-0168,DataDrive Ltd - Managed Services,DataDrive Ltd,Emma Thompson,Proposal,44832.63,2024-05-21,2024-01-30,32,Pipeline,New Business,33,2025-11-20
OPP-0169,Catalyst Ltd - Cloud Migration,Catalyst Ltd,David Kim,Proposal,60565.43,2025-01-05,2024-10-10,31,Pipeline,Renewal,60,2025-11-18
OPP-0170,FutureTech - Digital Transformation,FutureTech,Michael Brown,Proposal,45722.14,2024-05-30,2024-03-18,33,Pipeline,Renewal,13,2025-12-24
OPP-0171,Atlas Solutions - Managed Services,Atlas Solutions,Michael Brown,Prospecting,71690.17,2025-04-03,2024-12-28,26,Pipeline,Renewal,38,2025-12-19
OPP-0172,Prime Technologies - Cloud Migration,Prime Technologies,Emma Thompson,Qualification,49828.16,2024-09-02,2024-07-28,29,Pipeline,Renewal,59,2025-11-18
OPP-0173,Apex Industries - Digital Transformation,Apex Industries,Emma Thompson,Prospecting,25272.95,2025-04-06,2024-12-13,18,Pipeline,Renewal,34,2025-12-20
OPP-0174,Apex Industries - Managed Services,Apex Industries,David Kim,Negotiation,26520.16,2024-08-13,2024-06-28,72,Best Case,Renewal,29,2025-12-24
OPP-0175,CoreLogic - Cloud Migration,CoreLogic,David Kim,Negotiation,64713.77,2024-07-28,2024-06-17,76,Best Case,Renewal,18,2025-11-17
OPP-0176,Horizon Digital - Digital Transformation,Horizon Digital,James Wilson,Prospecting,60679.08,2024-09-07,2024-06-07,20,Pipeline,New Business,21,2025-12-15
OPP-0177,InnovateCo - Managed Services,InnovateCo,Lisa Garcia,Qualification,32395.61,2024-03-26,2024-02-21,26,Pipeline,Renewal,42,2025-12-08
OPP-0178,Sterling Tech - Cloud Migration,Sterling Tech,James Wilson,Proposal,69442.52,2024-05-09,2024-03-19,49,Pipeline,Renewal,20,2025-12-01
OPP-0179,TechFlow Inc - Digital Transformation,TechFlow Inc,Lisa Garcia,Negotiation,52868.69,2024-07-27,2024-05-01,69,Best Case,New Business,38,2025-11-25
OPP-0180,SmartSystems - Managed Services,SmartSystems,Emma Thompson,Commit,44757.43,2024-12-09,2024-08-28,95,Commit,Expansion,22,2025-11-30
